label,hdate,hdate_end,hdate_birth,hdate_death,approx_year,description,url,max_xrange_years
Archimedes,,,c. 287 BC,c. 212 BC,-287,,https://en.wikipedia.org/wiki/Archimedes,
Copernican Model,1543,,,,1543,Copernican heliocentric model of solar system,https://en.wikipedia.org/wiki/Nicolaus_Copernicus#Copernican_system,
Galileo ,,,15 Feb 1564,8 Jan 1642,1564,,https://en.wikipedia.org/wiki/Galileo_Galilei,
Probability Theory,1560,1637,,,1600,Early development of probabity theory,https://en.wikipedia.org/wiki/History_of_probability,
Cartesian Co-ordinates,1637,,,,1637,,https://en.wikipedia.org/wiki/Cartesian_coordinate_system#History,
Isaac Newton,,,25 Dec 1642,20 Mar 1726,1666,,https://en.wikipedia.org/wiki/Isaac_Newton,
Halley’s Comet Predicted,1705,,,,1705,,https://en.wikipedia.org/wiki/Halley%27s_Comet,
Uranus,1781,,,,1781,Uranus discovered,https://en.wikipedia.org/wiki/Uranus,
Mass of Earth,1798,,,,1798,Mass of Earth measured,https://en.wikipedia.org/wiki/Cavendish_experiment,
Atomic Theory,1800,1810,,,1800,Atomic Theory (Dalton),https://en.wikipedia.org/wiki/Atomic_theory#Dalton's_atomic_theory,
Laws of Electromagnetism,1785,1884,,,1820,,https://en.wikipedia.org/wiki/History_of_Maxwell%27s_equations,
Navier-Stokes Equations,1822,1850,,,1822,Navier-Stokes equations of fluid dynamics,https://en.wikipedia.org/wiki/Navier%E2%80%93Stokes_equations,
Hamilton’s Equations,1835,,,,1835,,https://en.wikipedia.org/wiki/Hamiltonian_mechanics,
Conservation of Energy,1850,,,,1850,Conservation of Energy (First Law of Thermodynamics),https://en.wikipedia.org/wiki/First_law_of_thermodynamics#History,
Foucault’s Pendulum,1851,,,,1851,,https://en.wikipedia.org/wiki/Foucault_pendulum,
Second Law of Thermodynamics,1854,,,,1854,,https://en.wikipedia.org/wiki/Second_law_of_thermodynamics#Clausius_statement,
Statistical Mechanics,1870,1880,,,1870,"Statistical mechanics, Boltzmann’s law",https://en.wikipedia.org/wiki/Statistical_mechanics#History,
Michelson–Morley experiment ,Apr 1887,Jul 1887,,,1887,,https://en.wikipedia.org/wiki/Michelson%E2%80%93Morley_experiment,
Marie Curie,1891,4 Jul 1934,,,1890,Marie Curie’s work on radioactive elements,https://en.wikipedia.org/wiki/Marie_Curie,
X-rays,8 Nov 1895,,,,1895,Discovery of X-rays (Röntgen),https://en.wikipedia.org/wiki/X-ray,
Electrons,1897,,,,1897,Discovery of electrons (J.J.Thomson),https://en.wikipedia.org/wiki/Electron,
Quantum Theory,1900,1927,,,1900,Initial development of quantum theory,https://en.wikipedia.org/wiki/History_of_physics#20th_century:_birth_of_modern_physics,
Special relativity,1905,,,,1905,Special relativity (Einstein),https://en.wikipedia.org/wiki/Theory_of_relativity#Special_relativity,
Rutherford’s atomic model,1911,,,,1911,,https://en.wikipedia.org/wiki/Ernest_Rutherford#Model_of_the_atom,
Superconductivity,1911,,,,1911,Superconductivity discovered,https://en.wikipedia.org/wiki/Superconductivity,
Expansion of Universe,1912,1929,,,1912,Discovery of expansion of the universe,https://en.wikipedia.org/wiki/Expansion_of_the_universe#History,
General relativity,1907,1915,,,1915,General relativity (Einstein),https://en.wikipedia.org/wiki/Theory_of_relativity#General_relativity,
Unified Field Theories,1919,1975,,,1919,,https://en.wikipedia.org/wiki/Unified_field_theory#History,
Quantum Field Theory,1928,1948,,,1928,Development of quantum field theory,https://en.wikipedia.org/wiki/History_of_physics#Quantum_field_theory,
Radio Astronomy,Apr 1933,,,,1933,,https://en.wikipedia.org/wiki/Radio_astronomy#History,
Nuclear Fission,dec 1938,,,,1938,Nuclear Fission (Meitner and Frisch),https://en.wikipedia.org/wiki/Discovery_of_nuclear_fission,
X-ray Astronomy,5 Aug 1948,,,,1948,,https://en.wikipedia.org/wiki/X-ray_astronomy#History_of_X-ray_astronomy,
Standard Model,1954,1975,,,1954,Development of Standard Model,https://en.wikipedia.org/wiki/Standard_Model#Historical_background,
Lasers,16 May 1960,,,,1960,First functioning Laser,https://en.wikipedia.org/wiki/Laser#History,
Cosmic Microwave Background,20 May 1964,,,,1964,Discovery of cosmic microwave background,https://en.wikipedia.org/wiki/Cosmic_microwave_background#History,
Pulsars,6 Aug 1967,,,,1967,,https://en.wikipedia.org/wiki/Pulsar,
Hubble Telescope Launched,24 Apr 1990,,,,1990,,https://en.wikipedia.org/wiki/Hubble_Space_Telescope,
Large Hadron Collider,2008,,,,2008,,https://en.wikipedia.org/wiki/Large_Hadron_Collider,
Higgs Boson Confirmed,14 March 2013,,,,2013,,https://en.wikipedia.org/wiki/Higgs_boson#History,
Gravitational-wave Astronomy,14 Sep 2015,,,,2015,,https://en.wikipedia.org/wiki/Gravitational-wave_astronomy#Introduction,
Webb Telescope Launched,25 December 2021,,,,2021,,https://en.wikipedia.org/wiki/James_Webb_Space_Telescope,
