label,hdate_birth,hdate_death,url
Beatrix Potter,28 July 1866,22 December 1943,https://en.wikipedia.org/wiki/Beatrix_Potter
C.S. Lewis,29 November 1898,22 November 1963,https://en.wikipedia.org/wiki/C._S._Lewis
Dr. Seuss,2 March 1904 ,24 September 1991 ,https://en.wikipedia.org/wiki/Dr._Seuss
Enid Blyton,11 August 1897,28 November 1968,https://en.wikipedia.org/wiki/Enid_Blyton
J.K. Rowling,31 July 1965,,https://en.wikipedia.org/wiki/J._K._Rowling
Lewis Carroll,27 January 1832,14 January 1898,https://en.wikipedia.org/wiki/Lewis_Carroll
Roald Dahl,13 September 1916,23 November 1990,https://en.wikipedia.org/wiki/Roald_Dahl
Stephenie Meyer,24 December 1973 ,,https://en.wikipedia.org/wiki/Stephenie_Meyer
Robert Louis Stevenson,13 November 1850,3 December 1894,https://en.wikipedia.org/wiki/Robert_Louis_Stevenson
Terry Pratchett,28 April 1948,12 March 2015,https://en.wikipedia.org/wiki/Terry_Pratchett
