label,hdate_birth,hdate_death,rank,url
William Shakespeare,apr 1564,23 apr 1616,1,https://en.wikipedia.org/wiki/William_Shakespeare
Caryl Churchill,3 sep 1938,,2,https://en.wikipedia.org/wiki/Caryl_Churchill
Samuel Beckett,13 apr 1906,22 December 1989,1,https://en.wikipedia.org/wiki/Samuel_Beckett
George Bernard Shaw,26 July 1856,2 November 1950,1,https://en.wikipedia.org/wiki/George_Bernard_Shaw
Arthur Miller,17 oct 1915,10 feb 2005,1,https://en.wikipedia.org/wiki/Arthur_Miller
Tennessee Williams,26 mar 1911,25 feb 1983,1,https://en.wikipedia.org/wiki/Tennessee_Williams
Anton Chekov,29 January 1860,15 July 1904,1,https://en.wikipedia.org/wiki/Anton_Chekhov
Eugene O’Neill,16 oct 1888,27 nov 1953,1,https://en.wikipedia.org/wiki/Eugene_O%27Neill
Henrik Ibsen,20 March 1828,23 May 1906,1,https://en.wikipedia.org/wiki/Henrik_Ibsen
Oscar Wilde,16 October 1854,30 November 1900,1,https://en.wikipedia.org/wiki/Oscar_Wilde
Neil Simon,4 jul 1927,26 aug 2018,1,https://en.wikipedia.org/wiki/Neil_Simon
Sam Shepard,5 nov 1943,27 jul 2017,2,https://en.wikipedia.org/wiki/Sam_Shepard
Sarah Kane,3 February 1971,20 February 1999,2,https://en.wikipedia.org/wiki/Sarah_Kane
Bertolt Brecht,10 February 1898,14 August 1956,1,https://en.wikipedia.org/wiki/Bertolt_Brecht
Eugène Ionesco,26 November 1909,28 March 1994,1,https://en.wikipedia.org/wiki/Eug%C3%A8ne_Ionesco
Thornton Wilder,17 apr 1897,7 dec 1975,2,https://en.wikipedia.org/wiki/Thornton_Wilder
David Henry Hwang,11 aug 1957,,2,https://en.wikipedia.org/wiki/David_Henry_Hwang
Annie Baker,apr 1981,,2,https://en.wikipedia.org/wiki/Annie_Baker
Tom Stoppard,3 jul 1937,,2,https://en.wikipedia.org/wiki/Tom_Stoppard
John Osborne,12 December 1929,24 December 1994,1,https://en.wikipedia.org/wiki/John_Osborne
Martin McDonagh,26 March 1970,,2,https://en.wikipedia.org/wiki/Martin_McDonagh
August Wilson,27 apr 1945,2 oct 2005,1,https://en.wikipedia.org/wiki/August_Wilson
Lillian Hellman,20 jun 1905,30 jun 1984,2,https://en.wikipedia.org/wiki/Lillian_Hellman
Albert Camus,7 November 1913,4 January 1960,2,https://en.wikipedia.org/wiki/Albert_Camus
Amiri Baraka,7 oct 1934,9 jan 2014,2,https://en.wikipedia.org/wiki/Amiri_Baraka
Noël Coward,16 December 1899,26 March 1973,1,https://en.wikipedia.org/wiki/No%C3%ABl_Coward
David Mamet,30 nov 1947,,2,https://en.wikipedia.org/wiki/David_Mamet
Miguel de Cervantes,29 September 1547,22 April 1616,2,https://en.wikipedia.org/wiki/Miguel_de_Cervantes
Tony Kushner,16 jul 1956,,2,https://en.wikipedia.org/wiki/Tony_Kushner
Lorraine Hansbury,19 may 1930,12 jan 1965,2,https://en.wikipedia.org/wiki/Lorraine_Hansberry
Aphra Behn,14 December 1640,16 April 1689,2,https://en.wikipedia.org/wiki/Aphra_Behn
Yasmina Reza,1 May 1959,,2,https://en.wikipedia.org/wiki/Yasmina_Reza
Christopher Marlowe,feb 1564,30 May 1593,1,https://en.wikipedia.org/wiki/Christopher_Marlowe
Tracy Letts,4 jul 1965,,2,https://en.wikipedia.org/wiki/Tracy_Letts
Martyna Majok,1985,,2,https://en.wikipedia.org/wiki/Martyna_Majok
David Hare,5 June 1947,,2,https://en.wikipedia.org/wiki/David_Hare_(playwright)
Ben Jonson,circa1m 11 June 1572,circa1m 16 August 1637,1,https://en.wikipedia.org/wiki/Ben_Jonson
Jean Racine,22 December 1639,21 April 1699,1,https://en.wikipedia.org/wiki/Jean_Racine
Johann Wolfgang von Goethe,28 August 1749,22 March 1832,2,https://en.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe
Nikolai Gogol,1 apr 1809,4 mar 1852,2,https://en.wikipedia.org/wiki/Nikolai_Gogol
Friedrich Schiller,10 November 1759,9 May 1805,2,https://en.wikipedia.org/wiki/Friedrich_Schiller
Molière,January 1622,17 February 1673,1,https://en.wikipedia.org/wiki/Moli%C3%A8re
Jean Anouilh,23 June 1910,3 October 1987,1,https://en.wikipedia.org/wiki/Jean_Anouilh
Steven Berkoff,3 August 1937,,2,https://en.wikipedia.org/wiki/Steven_Berkoff
Mike Bartlett,7 October 1980,,2,https://en.wikipedia.org/wiki/Mike_Bartlett_(playwright)
Lynn Nottage,2 nov 1964,,2,https://en.wikipedia.org/wiki/Lynn_Nottage
John Patrick Shanley,13 oct 1950,,2,https://en.wikipedia.org/wiki/John_Patrick_Shanley
Terence Rattigan,10 June 1911,30 November 1977,1,https://en.wikipedia.org/wiki/Terence_Rattigan
Richard Sheridan,30 October 1751,7 July 1816,1,https://en.wikipedia.org/wiki/Richard_Brinsley_Sheridan
Oliver Goldsmith,10 November 1728,4 April 1774,1,https://en.wikipedia.org/wiki/Oliver_Goldsmith
John Webster,c. 1578 ,c. 1632 ,1,https://en.wikipedia.org/wiki/John_Webster
Harold Pinter,10 October 1930,24 December 2008,1,https://en.wikipedia.org/wiki/Harold_Pinter
T. S. Eliot,26 September 1888,4 January 1965,1,https://en.wikipedia.org/wiki/T._S._Eliot
